,Date,Venue
200,"March 28, 1970",Memorial Auditorium (Dallas)
201,"March 29, 1970",Hofheinz Pavillion (University of Houston)
202,"March 30, 1970",Civic Arena (Pittsburgh)
203,"March 31, 1970",Spectrum
204,"April 2, 1970",Civic Center (Charleston)
205,"April 3, 1970",Macon Coliseum
206,"April 4, 1970",Coliseum (Indianapolis)
207,"April 5, 1970",Civic Center (Baltimore)
208,"April 7, 1970",Charlotte Coliseum
209,"April 8, 1970",J. S. Dorton Arena
210,"April 9, 1970",Curtis Hixon Hall
211,"April 10, 1970",Miami Beach Convention Center
212,"April 11, 1970",Kiel Auditorium
213,"April 12, 1970",Met Center
214,"April 13, 1970",Montreal Forum
215,"April 14, 1970",Ottawa Civic Centre
216,"April 16, 1970",Roberts Stadium
217,"April 17, 1970",Mid-South Coliseum
218,"April 18, 1970",Veterans Memorial Coliseum
219,"April 19, 1970",Las Vegas Convention Center (Cancelled)
220,"April 23, 1970",BBC TV Lime Grove Studios
221,"June 22, 1970",Laugardalsholl Hall
222,"June 28, 1970",Bath Festival - West Showground
223,"July 16, 1970",Sporthalle
224,"July 17, 1970",Grugahalle
225,"July 18, 1970",Festhalle
226,"July 19, 1970",Deutschlandhalle
227,"August 10, 1970",Hampton Roads Coliseum
228,"August 15, 1970",Yale Bowl
229,"August 19, 1970",Municipal Auditorium (MO)
230,"August 20, 1970",State Fairgrounds Arena (OK)
231,"August 21, 1970",Assembly Center
232,"August 22, 1970",Tarrant County Convention Center
233,"August 23, 1970",Convention Arena (HemisFair)
234,"August 25, 1970",Municipal Auditorium (Nashville)
235,"August 26, 1970",Public Auditorium
236,"August 28, 1970",Olympia Stadium
237,"August 29, 1970",Man Pop Festival (Winnipeg Arena)
238,"August 31, 1970",Milwaukee Arena
239,"September 1, 1970",Seattle Center Coliseum
240,"September 2, 1970",Oakland Coliseum
241,"September 3, 1970",Sports Arena
242,"September 4, 1970",The Forum
243,"September 6, 1970",Honolulu International Center
244,"September 9, 1970",Boston Garden
245,"September 19, 1970",Madison Square Garden
246,"March 5, 1971",Ulster Hall
247,"March 6, 1971",National Boxing Stadium
248,"March 9, 1971",Leeds University - Student's Union
249,"March 10, 1971",Kent University - Sports Hall
250,"March 11, 1971","Southampton University (The Old Refectory, Student Union Building)"
251,"March 13, 1971",Bath Pavillion
252,"March 14, 1971",Trentham Gardens
253,"March 18, 1971",Mayfair Ballroom
254,"March 19, 1971",Manchester University
255,"March 20, 1971",The Belfry
256,"March 21, 1971",Boat Club
257,"March 23, 1971",Marquee
258,"April 1, 1971",Paris Cinema Theatre
259,"May 3, 1971",K. B. Hallen
260,"May 4, 1971",Fyens Forum
261,"May 10, 1971",Liverpool University
262,"July 5, 1971",Vigorelli Velodrome
263,"August 7, 1971",Montreux Casino
264,"August 8, 1971",Montreux Casino
265,"August 19, 1971",Pacific Coliseum
266,"August 21, 1971",The Forum
267,"August 22, 1971",The Forum
268,"August 23, 1971",Tarrant County Convention Center
269,"August 24, 1971",Memorial Auditorium (Dallas)
270,"August 26, 1971",Sam Houston Coliseum
271,"August 27, 1971",Convention Arena (HemisFair)
272,"August 29, 1971",Municipal Auditorium (LA)
273,"August 31, 1971",Sports Stadium
274,"September 1, 1971",Hollywood Sportatorium
275,"September 3, 1971",Madison Square Garden
276,"September 4, 1971",Maple Leaf Gardens
277,"September 5, 1971",Chicago International Amphitheatre
278,"September 7, 1971",Boston Garden
279,"September 9, 1971",Hampton Roads Coliseum
280,"September 10, 1971",Onondaga War Memorial
281,"September 11, 1971",War Memorial Auditorium
282,"September 13, 1971",Community Theatre
283,"September 14, 1971",Community Theatre
284,"September 16, 1971",Civic Auditorium (Honolulu)
285,"September 17, 1971",Civic Auditorium (Honolulu)
286,"September 23, 1971",Budokan
287,"September 24, 1971",Budokan
288,"September 27, 1971",Prefectural Gymnasium
289,"September 28, 1971",Festival Hall
290,"September 29, 1971",Festival Hall
291,"November 11, 1971",City Hall (Newcastle)
292,"November 12, 1971",Locarno Ballroom
293,"November 13, 1971",Caird Hall
294,"November 16, 1971",St. Matthew's Baths Hall
295,"November 17, 1971",Kinetic Circus
296,"November 18, 1971",Sheffield University
297,"November 20, 1971",Wembley Empire Pool
298,"November 21, 1971",Wembley Empire Pool
299,"November 23, 1971",Public Hall (Preston)
300,"November 24, 1971",Free Trade Hall
301,"November 25, 1971",Leicester University
302,"November 29, 1971",Liverpool Stadium
303,"November 30, 1971",Kings Hall Belle Vue
304,"December 2, 1971",Starkers Royal Ballroom
305,"December 9, 1971",Locarno Ballroom
306,"December 21, 1971",City Hall (Salisbury)
307,"February 16, 1972",Subiaco Oval
308,"February 19, 1972",Memorial Drive
309,"February 20, 1972",Kooyong Stadium
310,"February 25, 1972",Western Springs Stadium
311,"February 27, 1972",Showground
312,"February 29, 1972",Festival Hall (Brisbane)
313,"May 27, 1972",Oude Rai
314,"May 28, 1972",Vorst Nationaal
315,"June 6, 1972",Cobo Hall
316,"June 7, 1972",Montreal Forum
317,"June 9, 1972",Charlotte Coliseum
318,"June 10, 1972",Buffalo Memorial Auditorium
319,"June 11, 1972",Civic Center (Baltimore)
320,"June 13, 1972",Spectrum
321,"June 14, 1972",Nassau Coliseum
322,"June 15, 1972",Nassau Coliseum
323,"June 17, 1972",Memorial Coliseum (Portland)
324,"June 18, 1972",Seattle Center Coliseum
325,"June 19, 1972",Seattle Center Coliseum
326,"June 21, 1972",Denver Coliseum
327,"June 22, 1972",Swing Auditorium
328,"June 23, 1972",Sports Arena
329,"June 25, 1972",The Forum
330,"June 27, 1972",Long Beach Arena
331,"June 28, 1972",Tucson Community Center
332,"October 2, 1972",Budokan
333,"October 3, 1972",Budokan
334,"October 4, 1972",Festival Hall
335,"October 5, 1972",Kokaido
336,"October 9, 1972",Festival Hall
337,"October 10, 1972",Kaikan Hall
338,"October 28, 1972",Pavillon (Montreux)
339,"October 29, 1972",Pavillon (Montreux)
340,"November 30, 1972",City Hall (Newcastle)
341,"December 1, 1972",City Hall (Newcastle)
342,"December 3, 1972",Green's Playhouse
343,"December 4, 1972",Green's Playhouse
344,"December 7, 1972",Hard Rock
345,"December 8, 1972",Hard Rock
346,"December 11, 1972",Capitol Theatre
347,"December 12, 1972",Capitol Theatre
348,"December 16, 1972",Birmingham Odeon
349,"December 17, 1972",Birmingham Odeon
350,"December 20, 1972",Brighton Dome
351,"December 22, 1972",Alexandra Palace
352,"December 23, 1972",Alexandra Palace
353,"January 2, 1973",City (Oval) Hall
354,"January 7, 1973",New Theatre
355,"January 14, 1973",Liverpool Empire
356,"January 15, 1973",Trentham Gardens
357,"January 16, 1973",King's Hall
358,"January 18, 1973",St. George's Hall
359,"January 21, 1973",Gaumont Theatre
360,"January 22, 1973","Southampton University (The Old Refectory, Student Union Building)"
361,"January 25, 1973",Aberdeen Music Hall
362,"January 27, 1973",Caird Hall
363,"January 28, 1973",King's Theatre
364,"January 30, 1973",Guildhall
365,"March 2, 1973",K. B. Hallen
366,"March 4, 1973",Scandinavium Arena
367,"March 6, 1973",Kungliga Tennishallen
368,"March 14, 1973",Messezentrum Halle A
369,"March 16, 1973",Wiener Stadthalle
370,"March 17, 1973",Olympia Halle
371,"March 19, 1973",Deutschlandhalle
372,"March 21, 1973",Musikhalle
373,"March 22, 1973",Grugahalle
374,"March 24, 1973",Ortenau-Halle
375,"March 26, 1973",Palais de Sports
376,"March 27, 1973",Parc des Expositions
377,"April 1, 1973",Centre Sportif
378,"April 2, 1973",Centre Sportif
379,"May 4, 1973",Atlanta Stadium
380,"May 5, 1973",Tampa Stadium
381,"May 7, 1973",Jacksonville Coliseum
382,"May 10, 1973",Memorial Coliseum (U. of AL)
383,"May 11, 1973",Arena (St. Louis)
384,"May 13, 1973",Municipal Auditorium (AL)
385,"May 14, 1973",Municipal Auditorium (LA)
386,"May 16, 1973",Sam Houston Coliseum
387,"May 18, 1973",Memorial Auditorium (Dallas)
388,"May 19, 1973",Tarrant County Convention Center
389,"May 22, 1973",Convention Arena (HemisFair)
390,"May 23, 1973",University of NM
391,"May 25, 1973",Denver Coliseum
392,"May 26, 1973",Salt Palace
393,"May 28, 1973",Sports Arena
394,"May 31, 1973",The Forum
395,"June 2, 1973",Kezar Stadium
396,"June 3, 1973",The Forum
397,"July 6, 1973",Chicago Stadium
398,"July 7, 1973",Chicago Stadium
399,"July 9, 1973",Civic Center (St. Paul)
400,"July 10, 1973",Milwaukee Arena
401,"July 12, 1973",Cobo Hall
402,"July 13, 1973",Cobo Hall
403,"July 15, 1973",Buffalo Memorial Auditorium
404,"July 17, 1973",Seattle Center Coliseum
405,"July 18, 1973",Pacific Coliseum
406,"July 20, 1973",Boston Garden
407,"July 21, 1973",Civic Center (Providence)
408,"July 23, 1973",Civic Center (Baltimore)
409,"July 24, 1973",Three Rivers Stadium
410,"July 27, 1973",Madison Square Garden
411,"July 28, 1973",Madison Square Garden
412,"July 29, 1973",Madison Square Garden
413,"January 11, 1975",Ahoy
414,"January 12, 1975",Vorst Nationaal
415,"January 18, 1975",Met Center
416,"January 20, 1975",Chicago Stadium
417,"January 21, 1975",Chicago Stadium
418,"January 22, 1975",Chicago Stadium
419,"January 24, 1975",Richfield Coliseum
420,"January 25, 1975",Market Square Arena
421,"January 29, 1975",Coliseum (NC)
422,"January 31, 1975",Olympia Stadium
423,"February 1, 1975",Civic Arena (Pittsburgh)
424,"February 3, 1975",Madison Square Garden
