Unnamed: 0,Date,Venue,URL,Setlist,Notes
10,"October 4, 1968",Mayfair Ballroom,https://www.ledzeppelin.com/show/mayfair-ballroom-october-4-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
Their contract for this gig, dated Sept. 13th,  billed them as ""Yardbirds"", where they would receive 50% of the gross ticket sales, ""less cost of support act: ₤15"". 11:30pm start time. Opening act: The Bakerloo Blues Line.
Jimmy Page (January 1969): ""The Marquee was fantastic - just great. We were totally knocked out when we came out of there. We thought they might have had it in for us because at the that date, we were still calling ourselves the Yardbirds - we hadn't thought of using Led Zeppelin yet.""
Ed Bicknell: “Peter couldn’t get anybody from the agency to go and see them. I was in London on my own so I went down to the Marquee and was astonished to see a queue right down Wardour Street and into Old Compton Street. There must have been 300 people standing in line. So I joined the end of the queue and eventually got in to see this gig. My memory was they didn’t play many songs. “Jimmy was banging away with the violin bow, so I guess they did ‘Dazed And Confused’ and they did a rock’n’roll medley at the end with some Little Richard and Elvis Presley numbers."" [Chris Welch, Peter Grant book]"
11,"October 18, 1968",Marquee,https://www.ledzeppelin.com/show/marquee-october-18-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
Support: The Gass. 
The band make their official debut as ""Led Zeppelin"". The show was hyped as ""The First Big Dance of the Term"" and some early printed material listed them as ""The New Yardbirds"". It was commonly (incorrectly) listed as taking place in Guildford, however this show occurred at the University of Surrey, Great Hall, Battersea Park Rd, London. An office memo from Jimmy Page's personal collection also confirmed this information: ""Friday 25th October 1968. Surrey University, Battersea Park Road, London, S.W.11. Arrive by 8pm. 1x50 minute spot.  £175 fee cheque on the night of the engagement.""
Read more"
12,"October 19, 1968",Liverpool University,https://www.ledzeppelin.com/show/liverpool-university-october-19-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
New information sent in to LZ.com from the former Social Secretary of the college, (B. Clark), indicates this date took place on October 26, 1968. (This appearance is also listed as occurring on November 2, 1968). Possibly a leftover booking from the Yardbirds, they were billed as The ""New"" Yardbirds, paid £175 for 2 x 45 min spots. At the band's request, it was later changed to one longer set.
Clark: ""Marcus Bicknell was the booker - he’d also booked me RP and the Band of Joy earlier that year in March, as support to Herbie Goins. When the Yardbirds split, he offered me a choice of Keith Relf’s Renaissance or the as yet unnamed Jimmy Page band - I took Renaissance on the grounds they would sell more tickets - but they weren’t together in time so we switched to LZ instead. What a lucky break!"" (Dec. 2014)
Terry Page: ""At the time I had a band called The Junk Shop. We supported The New Yardbirds that night along with a band called The Gods."
13,"October 25, 1968",University of Surrey - Great Hall,https://www.ledzeppelin.com/show/university-surrey-october-25-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
The band earn £150 for this appearance which was sheduled for 2am (technically Nov. 10th). An office memo from Jimmy Page's personal collection states: ""Saturday 9th November 1968. Roundhouse, Chalk Farm Road, London, N.W.1.  Arrive by 1:30am (Sun. morning) in time to go on stage by 2am. 1x50 minute spot.""
Jimmy Page (January 1969): ""(At the Roundhouse), we did alright. We only played a couple of dates in London - The Roundhouse and Marquee. The Marquee was fantastic - just great. We were totally knocked out when we came out of there. We thought they might have had it in for us because at the that date, we were still calling ourselves the Yardbirds - we hadn't thought of using Led Zeppelin yet.""
Rafael de Swarte from the support act, Tyres, comments on the gig:  “It was an exciting time, and just before Zeppelin headed to the States. John Lee Hooker was hanging around backstage watching. It was a good gig, except at one point the guitarist was left playing nothing – his lead had come out. We look around and John was peering around the curtain looking at us, with the lead curled around his foot! We never worked out if he was joking, clumsy or trying to get us to stop.”"
14,"October 26, 1968",Ewell Tech College,https://www.ledzeppelin.com/show/ewell-tech-college-october-26-1968,"Typical setlist during this period included: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
An office memo from Jimmy Page's personal collection: ""Details for Saturday are as follows: Saturday 23rd November 1968. Student's Union, Sheffield University, Western Bank, Sheffield 10. 1x50 minute spot. Arrive by 9:30pm. Fee £175 being paid to this office in advance.""
Review by concert attendee Stuart Penney: The first album was still four months away and I'm sure that some of the posters around town billed them as The New Yardbirds for this gig (only their 15th-ever show as it turned out). Jimmy Page was the only member I'd heard of but with a pedigree like his, the ten shillings (50p) entrance fee seemed like a worthwhile punt.
Read more"
15,"November 9, 1968",Roundhouse,https://www.ledzeppelin.com/show/roundhouse-november-9-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
Review (1): Led Zeppelin, the re-grouped Yardbirds, made their Marquee debut last week. They are now very much a heavy music group, with singer Robert Plant leading and ably holding his own against a powerful backing trio of John Paul Jones (bass), John Bonham (drums), and Jimmy Page (guitar).
Amp troubles didn’t help them on this particular occasion but there seemed to be a tendency for too much volume which inevitably defeats musical definition.
One of the best numbers of the set was “Days of Confusion” (aka Dazed and Confused), featuring interesting inter-play of Plant’s voice and Page’s guitar on which he used a violin bow creating an unusual effect. Drummer Bonham is forceful, perhaps too much so, and generally there appears to be a need for Led Zeppelin to cut down on volume a bit. (T. Wilson, Melody Maker, Dec. 1968)
Press Review (2): Led Zeppelin may sound a pretty incongruous sort of name to Americans unfamiliar with the British sense of humor, but when Who drummer Keith Moon dreamed up the title for Jimmy Page’s new group he was recalling an ancient British saying. They say that when a joke falls flat, it “goes down like a lead Zeppelin” (named after the World War I airship), but Page’s new combo seems in little danger of flopping.
For their recent appearance at London’s Marquee Club, the ex-Yardbirds guitarist whipped his men into a commendable frenzy which was not without its moments of inspiration and extensive improvisation.
“Our music sort of resembles jazz, as far as the improvisation is concerned,” explained the leader. “All I can say is that we’re just sort of moving on and throwing ideas to each other.
“We usually have the beginning part worked out in advance and the ending, and we might have a couple of cues as to what the thing is going to go into, but we might go off into anything—who knows? We do have some numbers that are more or less the same from beginning to end but they’re mostly the shorter ones, and anyway, it’s more of a challenge to experiment.”
I thought they had a tendency to go on for too long and destroy effective climaxes by trying to top them with a further musical climax. Jimmy took this criticism kindly. “It’s funny you should say that, because when we played here at the Roundhouse, the reaction was so good that I asked people what they thought of the group. Nearly everyone I spoke to said ‘oh, it was great, but you could have done longer!’ It seems to be the scene now.”
His most impressive feat on the night I caught the group, was bowing his guitar strings in harmony with the vocal on a number called ‘Days of Confusion.’ (Dazed & Confused) Surprisingly, I discovered that he first tried out this feat more than three years ago. “With the voice we try to do a lot of answering phrases and so on and that usually builds up into quite a thing with the voice following behind,” Jimmy explained. [Valerie Wilmer,  12/68]"
16,"November 23, 1968",Sheffield University,https://www.ledzeppelin.com/show/sheffield-university-november-23-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,","Notes
Billed as 'Yardbirds'.
Fan review: ""Having never managed to catch the Yardbirds in their Clapton or Beck days, I was excited when Bridge advertised a gig of theirs in Dec 68. The Country Club wasn't your typical venue, with everything focussed on the music; the band played in one of several rooms - quite small, probably about King Tuts sized. It wasn't full, far from it, maybe only about 30 of us. The only number I recall clearly, over that 49+ years, is Communication Breakdown.  The band got a very low-key reaction and when, at the end, Robert Plant said, ""Thank you and good night from Led Zeppelin"", I thought it was a reference to the unenthusiastic audience (remember, I thought I was watching the Yardbirds)"".
Read more"
17,"November 29, 1968",Crawdaddy / Richmond Athletic Ground,https://www.ledzeppelin.com/show/crawdaddy-richmond-athletic-ground-november-29-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,",
18,"December 10, 1968",Marquee,https://www.ledzeppelin.com/show/marquee-december-10-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,",
19,"December 13, 1968",Bridge Place Country Club,https://www.ledzeppelin.com/show/bridge-place-country-club-december-13-1968,"Setlists during these early tours include: Train Kept a Rollin', I Can't Quit You Baby, You Shook Me, Dazed & Confused,  White Summer / Black Mountain Side, Babe I'm Gonna Leave You, How Many More Times, Communication Breakdown,",
20,"December 14, 1968",Leeds University - Student's Union,https://www.ledzeppelin.com/show/leeds-university-students-union-december-14-1968,,
21,"December 15, 1968",Country Club,https://www.ledzeppelin.com/show/country-club-hampstead-december-15-1968,,
22,"December 16, 1968",Bath Pavillion,https://www.ledzeppelin.com/show/bath-pavillion-december-16-1968,,
23,"December 19, 1968",Civic Hall,https://www.ledzeppelin.com/show/civic-hall-december-19-1968,,
24,"December 20, 1968",Fishmongers Arms,https://www.ledzeppelin.com/show/wood-green-fishmongers-hall-december-20-1968,,
25,"December 26, 1968",Auditorium Arena,https://www.ledzeppelin.com/show/auditorium-arena-december-26-1968,,
26,"December 27, 1968",Seattle Center Arena,https://www.ledzeppelin.com/show/seattle-center-arena-december-27-1968,,
27,"December 28, 1968",Pacific Coliseum,https://www.ledzeppelin.com/show/pacific-coliseum-december-28-1968,,
28,"December 29, 1968",Civic Auditorium (OR),https://www.ledzeppelin.com/show/civic-auditorium-or-december-29-1968,,
29,"December 30, 1968","Gonzaga University, Kennedy Pavilion",https://www.ledzeppelin.com/show/gonzaga-university-kennedy-pavillion-december-30-1968,,
30,"January 2, 1969",Whisky a Go Go,https://www.ledzeppelin.com/show/whisky-go-go-january-2-1969,,
31,"January 4, 1969",Whisky a Go Go,https://www.ledzeppelin.com/show/whisky-go-go-january-4-1969,,
32,"January 5, 1969",Whisky a Go Go,https://www.ledzeppelin.com/show/whisky-go-go-january-5-1969,,
33,"January 9, 1969",Fillmore West,https://www.ledzeppelin.com/show/fillmore-west-january-9-1969,,
34,"January 10, 1969",Fillmore West,https://www.ledzeppelin.com/show/fillmore-west-january-10-1969,,
35,"January 11, 1969",Fillmore West,https://www.ledzeppelin.com/show/fillmore-west-january-11-1969,,
36,"January 12, 1969",Fillmore West,https://www.ledzeppelin.com/show/fillmore-west-january-12-1969,,
37,"January 15, 1969",University of Iowa Memorial Union,https://www.ledzeppelin.com/show/university-iowa-memorial-union-january-15-1969,,
38,"January 17, 1969",The Grande Ballroom,https://www.ledzeppelin.com/show/grande-ballroom-january-17-1969,,
39,"January 18, 1969",The Grande Ballroom,https://www.ledzeppelin.com/show/grande-ballroom-january-18-1969,,
40,"January 19, 1969",The Grande Ballroom,https://www.ledzeppelin.com/show/grande-ballroom-january-19-1969,,
41,"January 20, 1969",Wheaton Youth Center (Unconfirmed rumour),https://www.ledzeppelin.com/show/wheaton-youth-center-january-20-1969,,
42,"January 23, 1969",Boston Tea Party,https://www.ledzeppelin.com/show/boston-tea-party-january-23-1969,,
43,"January 24, 1969",Boston Tea Party,https://www.ledzeppelin.com/show/boston-tea-party-january-24-1969,,
44,"January 25, 1969",Boston Tea Party,https://www.ledzeppelin.com/show/boston-tea-party-january-25-1969,,
45,"January 26, 1969",Boston Tea Party,https://www.ledzeppelin.com/show/boston-tea-party-january-26-1969,,
46,"January 31, 1969",Fillmore East,https://www.ledzeppelin.com/show/fillmore-east-january-31-1969,,
47,"February 1, 1969",Fillmore East,https://www.ledzeppelin.com/show/fillmore-east-february-1-1969,,
48,"February 2, 1969",The Rock Pile,https://www.ledzeppelin.com/show/rock-pile-february-2-1969,,
49,"February 7, 1969",Kinetic Playground,https://www.ledzeppelin.com/show/kinetic-playground-february-7-1969,,
50,"February 8, 1969",Kinetic Playground,https://www.ledzeppelin.com/show/kinetic-playground-february-8-1969,,
51,"February 10, 1969",State University (Field House) *Unconfirmed,https://www.ledzeppelin.com/show/state-university-field-house-february-10-1969,,
52,"February 14, 1969",Thee Image Club,https://www.ledzeppelin.com/show/thee-image-club-february-14-1969,,
53,"February 15, 1969",Thee Image Club,https://www.ledzeppelin.com/show/thee-image-club-february-15-1969,,
54,"February 16, 1969",Civic Center (Baltimore),https://www.ledzeppelin.com/show/civic-center-baltimore-february-16-1969,,
55,"February 24, 1969",Club Lafayette,https://www.ledzeppelin.com/show/club-lafayette-february-24-1969,,
56,"March 1, 1969",Van Dike Club (CANCELLED),https://www.ledzeppelin.com/show/van-dike-club-march-1-1969-cancelled,,
57,"March 3, 1969",Playhouse Theatre,https://www.ledzeppelin.com/show/playhouse-theatre-march-3-1969,,
58,"March 7, 1969",Bluesville 69 Club / Hornsey Wood Tavern,https://www.ledzeppelin.com/show/bluesville-69-club-hornsey-wood-tavern-march-7-1969,,
59,"March 8, 1969",College of Technology,https://www.ledzeppelin.com/show/college-technology-march-8-1969,,
60,"March 13, 1969",De Montfort Hall,https://www.ledzeppelin.com/show/de-montfort-hall-march-13-1969,,
61,"March 14, 1969",Sveriges Radio TV Studios,https://www.ledzeppelin.com/show/sweden-tv-march-14-1969,,
62,"March 14, 1969",Uppsala University Hall,https://www.ledzeppelin.com/show/uppsala-university-hall-march-14-1969,,
63,"March 14, 1969",Konserthuset,https://www.ledzeppelin.com/show/konserthuset-march-14-1969,,
64,"March 15, 1969","Brondby Pop-Club, Norregardsskolen",https://www.ledzeppelin.com/show/brondby-pop-club-norregardsskolen-march-15-1969,,
65,"March 15, 1969","Teen-Clubs, Box 45, Egegaard Skole",https://www.ledzeppelin.com/show/teen-clubs-box-45-egegaard-skole-march-15-1969,,
66,"March 16, 1969",Tivolis Koncertsal,https://www.ledzeppelin.com/show/tivolis-koncertsal-march-16-1969,,
67,"March 17, 1969",TV Byen / Danmarks Radio,https://www.ledzeppelin.com/show/tv-byen-danmarks-radio-march-17-1969,,
68,"March 18, 1969",Supershow,https://www.ledzeppelin.com/show/supershow-march-18-1969,,
69,"March 19, 1969",Maida Vale BBC Studios,https://www.ledzeppelin.com/show/maida-vale-bbc-studios-march-19-1969,,
70,"March 21, 1969",BBC TV Lime Grove Studios,https://www.ledzeppelin.com/show/bbc-tv-lime-grove-studios-march-21-1969,,
71,"March 22, 1969",Mothers Club,https://www.ledzeppelin.com/show/mothers-club-march-22-1969,,
72,"March 23, 1969",The Argus Butterfly,https://www.ledzeppelin.com/show/argus-butterfly-march-23-1969,,
73,"March 27, 1969",Beat Club (TV),https://www.ledzeppelin.com/show/beat-club-tv-march-27-1969,,
74,"March 28, 1969",Marquee,https://www.ledzeppelin.com/show/marquee-march-28-1969,,
75,"March 29, 1969",Bromley College of Technology,https://www.ledzeppelin.com/show/bromley-college-technology-march-29-1969,,
76,"March 30, 1969",Farx Club,https://www.ledzeppelin.com/show/farx-club-march-30-1969,,
77,"March 31, 1969",Cooks Ferry Inn,https://www.ledzeppelin.com/show/cooks-ferry-inn-march-31-1969,,
78,"April 1, 1969",Klooks Kleek,https://www.ledzeppelin.com/show/klooks-kleek-april-1-1969,,
79,"April 2, 1969",Top Rank Suite Club,https://www.ledzeppelin.com/show/top-rank-club-april-2-1969,,
80,"April 5, 1969",Dagenham Roundhouse,https://www.ledzeppelin.com/show/dagenham-roundhouse-april-5-1969,,
